,Position 1,Position 2,Position 3,Position 4,Position 5
a,0.01136,0.03489,0.01906,0.01656,0.01048
b,0.01401,0.00125,0.00516,0.00375,0.00091
c,0.01422,0.00271,0.00604,0.00634,0.00196
d,0.01056,0.0013,0.00601,0.00726,0.01269
e,0.00467,0.0251,0.0136,0.03588,0.02347
f,0.00922,0.00037,0.00274,0.00359,0.00126
g,0.00984,0.00117,0.00561,0.00652,0.0022
h,0.00754,0.00842,0.00185,0.00362,0.0057
i,0.00254,0.02132,0.0162,0.01357,0.00432
j,0.00311,0.00017,0.00071,0.00045,0.00005
k,0.0058,0.00146,0.00419,0.00776,0.00399
l,0.0089,0.01078,0.01307,0.01189,0.00734
m,0.01068,0.0029,0.00788,0.0062,0.00281
n,0.00501,0.00532,0.01486,0.01215,0.00817
o,0.00404,0.03232,0.01531,0.01076,0.006
p,0.01324,0.00356,0.00561,0.00644,0.00227
q,0.0012,0.00023,0.0002,0.00003,0.00006
r,0.00968,0.01449,0.01847,0.01109,0.01038
s,0.02413,0.00143,0.00822,0.00796,0.06102
t,0.01257,0.00368,0.0095,0.01385,0.01121
u,0.00291,0.0183,0.01028,0.00618,0.00103
v,0.00373,0.0008,0.0037,0.00241,0.00006
w,0.00637,0.00251,0.00418,0.00197,0.00099
x,0.00025,0.00088,0.00205,0.00019,0.00108
y,0.00279,0.00418,0.00328,0.00167,0.02006
z,0.00162,0.00045,0.00219,0.00194,0.00049
