,Position 1,Position 2,Position 3,Position 4,Position 5
a,0.06063,0.13166,0.13252,0.07016,0.02728
b,0.07492,0.00693,0.02425,0.01039,0.00476
c,0.08575,0.01732,0.02425,0.06496,0.01343
d,0.04807,0.00866,0.03248,0.02988,0.0511
e,0.03118,0.10437,0.07666,0.13772,0.18276
f,0.05847,0.00346,0.01083,0.01516,0.01126
g,0.04981,0.00476,0.02902,0.03291,0.01776
h,0.02988,0.06236,0.0039,0.01213,0.05933
i,0.01472,0.08705,0.1152,0.06843,0.00476
j,0.00866,0.00087,0.0013,0.00087,0
k,0.00866,0.00433,0.0052,0.02382,0.04894
l,0.03768,0.08662,0.04851,0.07016,0.06713
m,0.04634,0.01646,0.02642,0.02945,0.01819
n,0.01602,0.03768,0.05933,0.07882,0.0563
o,0.01776,0.12083,0.10524,0.05717,0.02512
p,0.06107,0.02642,0.02469,0.02165,0.02425
q,0.00996,0.00217,0.00043,0,0
r,0.04547,0.11563,0.07059,0.06496,0.09181
s,0.15808,0.00693,0.03465,0.07406,0.01559
t,0.06453,0.03335,0.04807,0.0602,0.10957
u,0.01429,0.08012,0.07146,0.03551,0.00043
v,0.01862,0.0065,0.02122,0.01949,0
w,0.03551,0.01906,0.01126,0.01083,0.00736
x,0,0.00606,0.0052,0.0013,0.00346
y,0.0026,0.00953,0.01256,0.0013,0.15764
z,0.0013,0.00087,0.00476,0.00866,0.00173
